"","diff","lwr","upr","p adj"
"2000+:Ctrl-<100:Ctrl",-0.0930680707849205,-0.530879682024455,0.344743540454614,0.999652514493856
"a100-299:Ctrl-<100:Ctrl",0.0365620195158186,-0.211898762791406,0.285022801823043,0.999984382576851
"a300-699:Ctrl-<100:Ctrl",0.0144945645382952,-0.264960837605708,0.293949966682299,0.99999999844579
"a700-1999:Ctrl-<100:Ctrl",0.236959022019394,-0.0575010853522464,0.531419129391034,0.243694912142955
"<100:gRNA-<100:Ctrl",0.165198114266469,-0.105779875511304,0.436176104044242,0.648660749205306
"2000+:gRNA-<100:Ctrl",-0.426626412154251,-0.809578904169327,-0.043673920139175,0.0154735746934342
"a100-299:gRNA-<100:Ctrl",-0.133028524191229,-0.376948294776161,0.110891246393704,0.780630677479105
"a300-699:gRNA-<100:Ctrl",-0.104025792959216,-0.361595925205942,0.153544339287509,0.958532336115766
"a700-1999:gRNA-<100:Ctrl",-0.238236319275003,-0.511869898766465,0.0353972602164592,0.152189916930475
"a100-299:Ctrl-2000+:Ctrl",0.129630090300739,-0.305100543111954,0.564360723713432,0.994993464421234
"a300-699:Ctrl-2000+:Ctrl",0.107562635323216,-0.345596591737373,0.560721862383804,0.999149471012642
"a700-1999:Ctrl-2000+:Ctrl",0.330027092804314,-0.132536111651035,0.792590297259664,0.416798312613017
"<100:gRNA-2000+:Ctrl",0.258266185051389,-0.189714879533584,0.706247249636363,0.719475982668426
"2000+:gRNA-2000+:Ctrl",-0.33355834136933,-0.856923008139298,0.189806325400638,0.586705750533704
"a100-299:gRNA-2000+:Ctrl",-0.0399604534063082,-0.472111836332349,0.392190929519732,0.999999731761284
"a300-699:gRNA-2000+:Ctrl",-0.0109577221742959,-0.450958104342629,0.429042659994037,0.999999999997903
"a700-1999:gRNA-2000+:Ctrl",-0.145168248490082,-0.594760618429779,0.304424121449615,0.991001354232516
"a300-699:Ctrl-a100-299:Ctrl",-0.0220674549775234,-0.296670875347172,0.252535965392126,0.999999922703763
"a700-1999:Ctrl-a100-299:Ctrl",0.200397002503575,-0.0894623970758784,0.490256402083029,0.464948557978355
"<100:gRNA-a100-299:Ctrl",0.12863609475065,-0.137335309041649,0.394607498542949,0.879945706513642
"2000+:gRNA-a100-299:Ctrl",-0.463188431670069,-0.842614745770449,-0.0837621175696895,0.00444944646575951
"a100-299:gRNA-a100-299:Ctrl",-0.169590543707047,-0.40793603070743,0.0687549432933354,0.420957144980627
"a300-699:gRNA-a100-299:Ctrl",-0.140587812475035,-0.392885433781379,0.111709808831309,0.758093987562683
"a700-1999:gRNA-a100-299:Ctrl",-0.274798338790821,-0.543474821789527,-0.00612185579211577,0.0401036815553388
"a700-1999:Ctrl-a300-699:Ctrl",0.222464457481099,-0.0943652017481316,0.539294116710329,0.44123075535991
"<100:gRNA-a300-699:Ctrl",0.150703549728174,-0.144429215443698,0.445836314900045,0.840527658158632
"2000+:gRNA-a300-699:Ctrl",-0.441120976692546,-0.841529379794365,-0.0407125735907269,0.0177165112647413
"a100-299:gRNA-a300-699:Ctrl",-0.147523088729524,-0.418024720177836,0.122978542718788,0.780648569250463
"a300-699:gRNA-a300-699:Ctrl",-0.118520357497512,-0.401392503810272,0.164351788815249,0.947786930657413
"a700-1999:gRNA-a300-699:Ctrl",-0.252730883813298,-0.550303755492325,0.0448419878657287,0.17855440025137
"<100:gRNA-a700-1999:Ctrl",-0.0717609077529251,-0.381138964705654,0.237617149199804,0.999293379286201
"2000+:gRNA-a700-1999:Ctrl",-0.663585434173645,-1.0746065070159,-0.252564361331388,1.48415352935194e-05
"a100-299:gRNA-a700-1999:Ctrl",-0.369987546210623,-0.655964058641363,-0.084011033779882,0.00175483279118804
"a300-699:gRNA-a700-1999:Ctrl",-0.34098481497861,-0.638689507930265,-0.0432801220269555,0.0108872919985421
"a700-1999:gRNA-a700-1999:Ctrl",-0.475195341294397,-0.78690200950211,-0.163488673086683,6.30449854441828e-05
"2000+:gRNA-<100:gRNA",-0.59182452642072,-0.986363039662564,-0.197286013178875,9.21089056327151e-05
"a100-299:gRNA-<100:gRNA",-0.298226638457697,-0.559961011005008,-0.036492265910387,0.0116503934973781
"a300-699:gRNA-<100:gRNA",-0.269223907225685,-0.54372418102541,0.00527636657403957,0.0598921877049785
"a700-1999:gRNA-<100:gRNA",-0.403434433541472,-0.693060680825516,-0.113808186257427,0.000450433577873666
"a100-299:gRNA-2000+:gRNA",0.293597887963022,-0.0828704665759594,0.670066242502004,0.28587405050471
"a300-699:gRNA-2000+:gRNA",0.322600619195034,-0.0628522839107508,0.70805352230082,0.195254639260259
"a700-1999:gRNA-2000+:gRNA",0.188390092879248,-0.20797703909866,0.584757224857156,0.890818845680384
"a300-699:gRNA-a100-299:gRNA",0.0290027312320122,-0.218824191950937,0.276829654414961,0.999997866256832
"a700-1999:gRNA-a100-299:gRNA",-0.105207795083774,-0.369690585930441,0.159274995762893,0.962369457676517
"a700-1999:gRNA-a300-699:gRNA",-0.134210526315786,-0.411332638745364,0.142911586113791,0.879066767358161
